Lookup Artists::Season,Lookup Artists::Staff Team Full Name,Lookup Photographers::Season,Lookup Photographers::Staff Team Full Name,Citations::Citation Volume,Citations::Citation Pages,Citations::Comment,Citations::Full Conversion Text,Citations::Partial Conversion Text Author,Lookup Videographers::Season,Lookup Videographers::Staff Team Full Name,Category ID,Category Text,Contiguous Relationship,Contingious 1,Contingious 2,Count,Count of Features,COUNT OF Sheet Type = Feature & Season = 2014,cSheetGif,Description,Dictated By ID,Dictated Text,Drawing Artist Text,Drawing Reference Text,Drawings Artist ID,Drawings Reference Number,Entered By ID,Entered Date,Entered Text,Entrance,Feature ID,Feature ID Tot.,Feature Sheet Count,Feature Text,FilePath,gArtist,Gate,gPhotographer,gPRStaff,gVideographer,Insula,Last Modified By ID,Last Modified Date,Last Usage ID,Last Usage ID Count,Last Usage Text,Minority Report,Modified Text,Negative Feature,Photo BW Roll Frame,Photo Color Roll Frame,Photo Comments,Photo Digital Image Number,Photographer ID,Photographer Roll Frame,Photographer Text,Recorded By ID,Recorded Date,Recorded Text,Region,Room Number,Room Type ID,Room Type Text,Season,Season Count,Sheet ID,Sheet Type,Structure ID,Structure Text,Totals of Room Type,Video Analog Tape Number,Video Analog Time,Video Comments,Video Digital File Number,Videographer ID,Lookup Principle Researchers::Principle Reasearcher Full Name,Lookup Principle Researchers::Season,Lookup Recorded By::Staff Team Full Name,Lookup Recorded By::Season
,,,,,,,"Jashemski, Vol. 2, 213-214",Jashemski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Eschebach, 1993, 372",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Mary Meier,2006,Lee Payne,,,,"Pugliese, Pompei Pitture e Mosaici, Vol. 8, 518-519",Pugliese,,,1,Domestic,Couch niche (feature 1576) to west.,None,Couch niche (feature 1576) to west.,4152,4152,,1577.gif,Rectangular couch niche in northeast corner.  Plaster with black painting.  Green plant painting survives on black painting.  No floor survives.,,,Mary Meier,"1571, 1576, 1577",373,"1571, 1576, 1577",196,04/06/2007,Doris McCarter,15,70,1366,1366,"Bench, Couch Niche(s)",,Yes,,Yes,0,Yes,4,,06/02/2011,3,4102,House,0,7/7/2006 9:45:23 PM,0,60616,60616,None,,374,BW0606/16; C0606/16,Lee Payne,196,07/04/2006,Margaret Ramos,8,8,34,Dining Room,2006,4148,1577,Feature,1473,Casa di Cornelius Rufus,,062,56:32-57:16,,,,,,Margaret Ramos,2006
,,,,,,,"Jashemski, Vol. 2, 213-214",Jashemski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Eschebach, 1993, 372",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Kevin Hill,2006,Lee Payne,,,,"Eschebach, 1993, 373",Eschebach,,,4,Commercial,Two to the west.,Two to the west.,Feature 1579 in the southeast corner,4152,4152,,1578.gif,It is a food shop with entrance 17 looking north on to Via della Abbondanza while opening 17A looks east onto Via Stabiana. Eschebach notes that there is and L-shaped podium in the north east corner of the shop with one bench opening toward a Via della Abbondanza and the other to Via Stabiana. In the south east corner is a platform with a dolium imbedded. In the south west corner is a passage way leading to room in rear and no decoration extant.,,,Kevin Hill,Sketch1578,372,1578,201,03/06/2007,Tina Tsantiris,17,211,1367,1367,(none),,Yes,,Yes,0,Yes,4,,06/02/2011,18,4102,"Food & Drink Shop, Small",0,7/10/2006 3:40:06 PM,0,60622,60622,None,,374,BW0606/22;C0606/22,Lee Payne,201,07/03/2006,Doris McCarter,8,1,19,Sales Room,2006,4148,1578,Space,,None,,063,0:00- 0:41,,,,,,Doris McCarter,2006
2006,Sera Baker,2006,Lee Payne,,,,"Eschebach, 1993, 373",Eschebach,,,4,Commercial,None,None,None,4152,4152,,1579.gif,Rectangular platform with dolium inserted in the southeast corner or sales room (1). Beside door to the street half lip of dolium survives filled with lapilli.,,,Sera Baker,Sketch1579,367,1579,196,03/06/2007,Tina Tsantiris,17,77,1368,1368,Dolium,,Yes,,Yes,0,Yes,4,,06/02/2011,18,4102,"Food & Drink Shop, Small",0,7/7/2006 9:45:23 PM,0,60623,60623,,,374,BW0606/23; C0606/23,Lee Payne,196,07/03/2006,Margaret Ramos,8,1,19,Sales Room,2006,4148,1579,Feature,,None,,063,0:00- 0:41,,,,,,Margaret Ramos,2006
2006,Mary Meier,2006,Lee Payne,,,,"Eschebach, 1993, 373",Eschebach,,,4,Commercial,Room 1 to east.,Room 1 to east.,None,4152,4152,,1580.gif,Rectangular room with a door in the north east corner of sales room (1). Blocked plaster lines decorated recess (possible window or door) in west wall. Eschebach records the discovery of seven amphora in this room.,,,Mary Meier,Sketch1580,373,1580,196,03/06/2007,Tina Tsantiris,17,211,1369,1369,(none),,Yes,,Yes,0,Yes,4,,06/02/2011,18,4102,"Food & Drink Shop, Small",0,7/7/2006 9:45:23 PM,0,60621,60621,,,374,BW0606/21; C0606/21,Lee Payne,196,07/03/2006,Margaret Ramos,8,2,47,Storeroom,2006,4148,1580,Space,,None,,063,00:41- 1:03,,,,,,Margaret Ramos,2006
2006,Sera Baker,2006,Lee Payne,,,,"Eschebach, 1993, 373-374",Eschebach,,,4,Commercial,Preparation room (feature 1583) to the northeast. Room 3 southeast.,Preparation room (feature 1583) to the northeast. Room 3 southeast.,None,4152,4152,,1581.gif,A small rectangular room at the west end of the shop. A doorway faces east in the southeast corner. No decoration exists. Eschebach refers to the existence of an oven of which no trace is surviving. A pipe is running from the floor above in the southeast corner. Evidence of roof beams for a floor seen above on the west wall.,,,Sera Baker,Sketch1581,367,1581,201,03/06/2007,Glenn Mills,19,211,1370,1370,(none),,Yes,,Yes,0,Yes,4,,06/02/2011,18,4102,"Food & Drink Shop, Small",0,7/7/2006 9:45:23 PM,0,60624,60624,,,374,BW0606/24; C0606/24,Lee Payne,201,07/03/2006,Doris McCarter,8,4,40,Kitchen,2006,4148,1581,Space,1477,None,,063,3:09-3:43,,,,,,Doris McCarter,2006
2006,Kevin Hill,2006,Lee Payne,,,,"Eschebach, 1993, 373-374",Eschebach,,,4,Commercial,Rooms 2 & 3 to the west.,Rooms 2 & 3 to the west.,None,4152,4152,,1582.gif,Room is a small sales room for the food & drink shop. On the east wall is a large doorway opening onto Via Stabiana. No decoration exists.,,,Kevin Hill,Sketch1582,372,1582,201,03/06/2007,Glenn Mills,19,211,1371,1371,(none),,Yes,,Yes,0,Yes,4,,06/02/2011,18,4102,"Food & Drink Shop, Small",0,7/7/2006 9:45:23 PM,0,60703,60703,,,374,BW0607/3; C0607/3,Lee Payne,201,07/03/2006,Doris McCarter,8,1,19,Sales Room,2006,4148,1582,Space,1477,None,,063,2:00-2:26,,,,,,Doris McCarter,2006
2006,Kevin Hill,2006,Lee Payne,,,,"Eschebach, 1993, 373-374",Eschebach,,,4,Commercial,Salesroom (feature 1582) located to the east.,Salesroom (feature 1582) located to the east.,None,4152,4152,,1583.gif,"Preparation room at the rear of sales room (feature 1582). No decoration or flooring remains. Eschebach refers to a large kettle in this room, no trace of which survives. Large square shallow recess in the center of the west wall. Small hole through the wall. Southwest corner to the kitchen (feature 1581) to the west. Traces of lining survives to the rear.",31,,Kevin Hill,Sketch1583,372,1583,,03/06/2007,Glenn Mills,19,211,1372,1372,(none),,Yes,,Yes,0,Yes,4,,06/02/2011,18,4102,"Food & Drink Shop, Small",0,7/7/2006 9:45:23 PM,0,60702,60702,,,374,BW0607/2; C0607/2,Lee Payne,,07/03/2006,BL,8,2,42,Preparation Room,2006,4148,1583,Space,1477,None,,063,2:26-2:51,,,,Ben Lowe,2006,,
2006,Sera Baker,2006,Lee Payne,,,,"Eschebach, 1993, 374",Eschebach,,,4,Commercial,Room 2 to the east.,Room 2 to the east.,None,4152,4152,,1584.gif,Small rectangular room with doorway in the southeast corner to bedroom (room 2).  Floor is higher than in room 2.  There is a small niche high in the west wall.  Identification as a kitchen is based on a platform in the corner of the south wall.  There is no decoration.,,,Sera Baker,"Sketch1584, 84",367,"1584, 84",201,11/06/2007,Tyler Laughlin,20,211,1373,1373,(none),,Yes,,Yes,0,Yes,4,,06/03/2011,21,4102,"Food & Drink Shop, Other",0,7/24/2006 12:23:20 AM,0,60704,60704,None,,374,BW0607/04; C0607/04,Lee Payne,201,07/11/2006,Doris McCarter,8,3,40,Kitchen,2006,4148,1584,Space,,None,,3,04:29-05:08,,,,,,Doris McCarter,2006
2006,Sera Baker,2006,Lee Payne,,,,"Eschebach, 1993, 374",Eschebach,,,4,Commercial,None,Room 2 located to the east.,None,4152,4152,,1585.gif,"Small square platform showing no recessed storage with a stone surface. Located in the northeast corner, east side of the platform eroded away. No lip.",,,Sera Baker,"Sketch1584, 85",367,"1584, 85",201,03/06/2007,Glenn Mills,20,88,1374,1374,"Platform, Cooking",,Yes,,Yes,0,Yes,4,,06/02/2011,21,4102,"Food & Drink Shop, Other",0,7/7/2006 9:45:23 PM,0,60705,60705,None,,374,BW0607/5; C0607/5,Lee Payne,201,07/03/2006,Doris McCarter,8,3,40,Kitchen,2006,4148,1585,Feature,,None,,063,4:29-5:08,,,,,,Doris McCarter,2006
2006,Mary Meier,2006,Lee Payne,,,,"Eschebach, 1993, 20",Eschebach,,,4,Commercial,None,None,None,4152,4152,,1586.gif,Located in the southeast wall of the oven room are two masonry and rubble supports for a preparation platform.,,,Mary Meier,"Sketch1733, Sketch1734, Sketch1735, Sketch1732, Sketch1731, Sketch1586",373,"1733, 1734, 1735, 1732, 1731, 1586",210,12/06/2007,Diane McLaughlin,1,46,1375,1375,Masonry Supports (Wooded Platform),,Yes,,Yes,0,Yes,3,,06/02/2011,14,4102,Bakery,0,7/14/2006 2:40:48 PM,0,61311,61311,None,,374,bw0613/11; cs0613/11,Lee Payne,210,07/12/2006,Diane McLaughlin,1,2,10,Oven Room,2006,4148,1586,Feature,43,Bakery; Pistrinum dulciarium,,0604,55:40-56:13,,,,,,Diane McLaughlin,2006
,,,,,,,"Mayeske, 1972, 82-83",Mayeske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Kevin Hill,2006,Lee Payne,,,,"Eschebach, 1993, 374",Eschebach,,,3,Religion,None,None,None,4152,4152,,1587.gif,"Shrine has a small square altar, with white plaster facing on north, east, and south sides. Unplastered near to the west lip on three sides: north, west and south. No lip on east side.",,,Kevin Hill,Sketch1587,372,1587,201,03/06/2007,George Reissig,24,54,1376,1376,Altar,,Yes,,Yes,0,Yes,4,,08/17/2012,8,4102,Other,0,7/12/2006 8:48:06 AM,0,60707,60707,None,,374,BW0607/7;CS0607/7,Lee Payne,201,07/03/2006,Doris McCarter,8,1,48,Other,2006,4148,1587,Feature,1482,Sacellum of the Lares Compitales,,0603,05:08-05:59,,,,,,Doris McCarter,2006
2006,Sera Baker,2006,Lee Payne,,,,"Pugliese, Pompei Pitture e Mosaici, Vol. 8, 526",Pugliese,,,4,Commercial,Room 2 is to northwest.,Room 2 is to northwest.,None,4152,4152,,1588.gif,"Large rectangular room. Wide door on east side opening on Via Stabiana. In south east corner is a short counter. On left hand of counter is a 3- step platform for wares. Room was painted, with fragments remaining. In north west corner is door way to room 2.",,,Sera Baker,Sketch1588,367,1588,201,03/06/2007,Tina Tsantiris,25,211,1377,1377,(none),,Yes,,Yes,0,Yes,4,,06/02/2011,18,4102,"Food & Drink Shop, Small",0,7/7/2006 9:45:23 PM,0,60708,60708,None,,374,BW0607/8;C0607/8,Lee Payne,201,07/03/2006,Doris McCarter,8,1,44,Serving Room,2006,4148,1588,Space,,None,,063,5:59- 6:54,,,,,,Doris McCarter,2006
,,,,,,,"Ruddell, 1964, 111",Ruddell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Eschebach, 1993, 375",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Sera Baker,2006,Lee Payne,,,,"Pugliese, Pompei Pitture e Mosaici, Vol. 8, 526",Pugliese,,,4,Commercial,None,Room 2 to the north west,None,4152,4152,,1589.gif,Stepped shelf counter. Three-stepped counter located in the southeast corner of room 1.,,,Sera Baker,Sketch1589,367,1589,201,03/06/2007,Tina Tsantiris,25,50,1378,1378,Counter,,Yes,,Yes,0,Yes,4,,06/02/2011,18,4102,"Food & Drink Shop, Small",0,7/10/2006 3:47:10 PM,0,60709,60709,None,,374,BW0607/9;C0607/9,Lee Payne,201,07/03/2006,Doris McCarter,8,1,44,Serving Room,2006,4148,1589,Feature,,None,,063,5:59- 6:54,,,,,,Doris McCarter,2006
,,,,,,,"Ruddell, 1964, 111",Ruddell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Eschebach, 1993, 375",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Mary Meier,2006,Lee Payne,,,,"Pugliese, Pompei Pitture e Mosaici, Vol. 8, 528",Pugliese,,,4,Commercial,"Rooms 1,2,3,5,16.","Rooms 1,2,3,5,16.",None,4152,4152,,1590.gif,"Three rubble basins, surrounded by lava paving stones.  Four broken catilli, one in room 5. One and 1/4 meta displaced. One meta in room 5. One beautiful oven with phallic niche over oven. Passthrough to the preparation room (room 5). 1 1/2-1 3/4 inch partially intact oven floor with curved front. Water basin in southwest corner. Preparation platform in corner.",,,Mary Meier,"Sketch1590,91,92,93,1603,1604",373,"1590,91,92,93,1603,1604",211,04/06/2007,George Reissig,27,211,1379,1379,(none),,Yes,,Yes,0,Yes,4,,08/17/2012,14,4102,Bakery,0,7/12/2006 12:02:57 AM,0,60724,60724,None,,374,BW0607/24;CS0607/24,Lee,211,07/04/2006,George Reissig,8,4,9,Mill - Oven Room,2006,4148,1590,Space,1484,Bakery and House of Felix,,0603,08:59-10:01,,,,,,George Reissig,2006
,,,,,,,"Jashemski, Vol. 2, 214",Jashemski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Mayeske, 1972, 124-125",Mayeske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Eschebach, 1993, 375",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Mary Meier,2006,Lee Payne,,,,"Pugliese, Pompei Pitture e Mosaici, Vol. 8, 528",Pugliese,,,4,Commercial,Mill (feature 1592). Mill (feature 1593).,None,Mill (feature 1592). Mill (feature 1593).,4152,4152,,1591.gif,Low rubble base is all that remains.,,,Mary Meier,"Sketch 1590.91.92.93,1603,1604",373," 1590.91.92.93,1603,1604",211,04/06/2007,George Reissig,27,82,1380,1380,Mill,,Yes,,Yes,0,Yes,4,,06/02/2011,14,4102,Bakery,0,7/12/2006 12:02:57 AM,0,60716,60716,None,,374,BW0607/16;CS0607/16,Lee,211,07/04/2006,George Reissig,8,4,9,Mill - Oven Room,2006,4148,1591,Feature,1484,Bakery and House of Felix,,0603,08:59-10:01,,,,,,George Reissig,2006
,,,,,,,"Jashemski, Vol. 2, 214",Jashemski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Mayeske, 1972, 124-125",Mayeske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Eschebach, 1993, 375",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Mary Meier,2006,Lee Payne,,,,"Pugliese, Pompei Pitture e Mosaici, Vol. 8, 528",Pugliese,,,4,Commercial,Mill (feature 1591). Mill (feature 1593).,None,Mill (feature 1591). Mill (feature 1593).,4152,4152,,1592.gif,"Low rubble of mill, catillus placed in base.",,,Mary Meier,"Sketch1590,91,92,93,1603,1604.",373,"1590,91,92,93,1603,1604.",211,04/06/2007,George Reissig,27,82,1381,1381,Mill,,Yes,,Yes,0,Yes,4,,06/02/2011,14,4102,Bakery,0,7/12/2006 12:02:57 AM,0,60714,60714,None,,374,BW0607/14;CS0607/14,Lee,211,07/04/2006,George Reissig,8,4,9,Mill - Oven Room,2006,4148,1592,Feature,1484,Bakery and House of Felix,,0603,08:59-10:01,,,,,,George Reissig,2006
,,,,,,,"Jashemski, Vol. 2, 214",Jashemski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Mayeske, 1972, 124-125",Mayeske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Eschebach, 1993, 375",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Mary Meier,2006,Lee Payne,,,,"Pugliese, Pompei Pitture e Mosaici, Vol. 8, 528",Pugliese,,,4,Commercial,"Mill (feature 1591), mill (feature 1592), and preparation platform (feature 1604).",None,"Mill (feature 1591), mill (feature 1592), and preparation platform (feature 1604).",4152,4152,,1593.gif,"Foundation is now rubble, with a vacant place for mill.",,,Mary Meier,"Sketch1590,91,92,93,1603,1604",373,"1590,91,92,93,1603,1604",211,04/06/2007,George Reissig,27,82,1382,1382,Mill,,Yes,,Yes,0,Yes,4,,06/02/2011,14,4102,Bakery,0,7/12/2006 12:02:57 AM,0,60717,60717,None,,374,BW0607/17;CS0607/17,Lee,211,07/04/2006,George Reissig,8,4,9,Mill - Oven Room,2006,4148,1593,Feature,1484,Bakery and House of Felix,,0603,08:59-10:01,,,,,,George Reissig,2006
,,,,,,,"Jashemski, Vol. 2, 214",Jashemski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Mayeske, 1972, 124-125",Mayeske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Eschebach, 1993, 375",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Mary Meier,2006,Lee Payne,,,,"Pugliese, Pompei Pitture e Mosaici, Vol. 8, 528",Pugliese,,,4,Commercial,Preparation platform to west (feature 1604). Mill to southeast (feature 1593). Mill to east (feature 1591). Mill to southeast (feature 1592).,None,Preparation platform to west (feature 1604). Mill to southeast (feature 1593). Mill to east (feature 1591). Mill to southeast (feature 1592).,4152,4152,,1594.gif,"Brick beehive oven with tile base, with two passthroughs to the south and the northeast. There is a vent above the oven. Niche for phallic symbol. Three niches for shelf supports along front of the oven.",,,Mary Meier and Kevin,"Sketch1594,1599",373,"1594,1599",211,04/06/2007,George Reissig,27,13,1383,1383,Oven,,Yes,,Yes,0,Yes,4,,08/17/2012,14,4102,Bakery,0,7/12/2006 12:02:57 AM,0,60723,60723,,,374,BW0607/23;CS0607/23,Lee,211,07/04/2006,George Reissig,8,4,9,Mill - Oven Room,2006,4148,1594,Feature,1484,Bakery and House of Felix,,0603,10:01-10:43,,,,,,George Reissig,2006
,,,,,,,"Jashemski, Vol. 2, 214",Jashemski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Mayeske, 1972, 124-125",Mayeske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Eschebach, 1993, 375",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Mary Meier,2006,Lee Payne,,,,"Pugliese, Pompei Pitture e Mosaici, Vol. 8, 528",Pugliese,,,4,Commercial,Mill Room to west (room 4). Room 2 to south.,Mill Room to west (room 4). Room 2 to south.,None,4152,4152,,1595.gif,Large doorway onto street on the east. Doorway into mill (room 4) on the west and entrance (room 2) to the south. Big window in upper east wall over door/entrance.,,,Mary Meier,Sketch1595,373,1595,211,04/06/2007,George Reissig,27,211,1384,1384,(none),,Yes,,Yes,0,Yes,4,,06/02/2011,14,4102,Bakery,0,7/12/2006 12:02:57 AM,0,60719,60719,None,,374,BW0607/19;CS0607/19,Lee,211,07/04/2006,George Reissig,8,1,19,Sales Room,2006,4148,1595,Space,1484,Bakery and House of Felix,,0603,7:09-7:53,,,,,,George Reissig,2006
,,,,,,,"Jashemski, Vol. 2, 214",Jashemski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Mayeske, 1972, 124-125",Mayeske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Eschebach, 1993, 375",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Sera Baker,2006,Lee Payne,,,,"Pugliese, Pompei Pitture e Mosaici, Vol. 8, 528",Pugliese,,,4,Commercial,Room 2 to north.,Room 2 to north.,None,4152,4152,,1596.gif,Niche/shelf on west wall.,,,Sera Baker,Sketch1596,367,1596,211,04/06/2007,George Reissig,27,211,1385,1385,(none),,Yes,,Yes,0,Yes,4,,06/02/2011,14,4102,Bakery,0,7/12/2006 12:02:57 AM,0,60715,60715,None,,374,BW0607/15;CS0607/15,Lee,211,07/04/2006,George Reissig,8,3,46,Stable,2006,4148,1596,Space,1484,Bakery and House of Felix,,0603,08:20-08:59,,,,,,George Reissig,2006
,,,,,,,"Jashemski, Vol. 2, 214",Jashemski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Mayeske, 1972, 124-125",Mayeske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Eschebach, 1993, 375",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Sera Baker,2006,Lee Payne,,,,"Pugliese, Pompei Pitture e Mosaici, Vol. 8, 528",Pugliese,,,4,Commercial,Room 14 to east. Garden to north (room 10). Room 12 to west.,Room 14 to east. Garden to north (room 10). Room 12 to west.,None,4152,4152,,1597.gif,Rectangular dining room with a wide doorway to the garden (room 10) to the north. No decoration. Walls  collapsed in places and rubble. Described as a dining room by Eschebach.,,,Sera Baker,"Sketch1597, 1602",367,"1597, 1602",196,04/06/2007,George Reissig,27,211,1386,1386,(none),,Yes,,Yes,0,Yes,4,,06/02/2011,14,4102,Bakery,0,7/14/2006 12:50:37 PM,0,60710,60710,None,,374,BW0607/10;CS0607/10,Lee Payne,196,07/04/2006,Margaret Ramos,8,13,34,Dining Room,2006,4148,1597,Space,1484,Bakery and House of Felix,,0603,13:16-13:39,,,,,,Margaret Ramos,2006
,,,,,,,"Jashemski, Vol. 2, 214",Jashemski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Mayeske, 1972, 124-125",Mayeske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Eschebach, 1993, 375",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Sera Baker,2006,Lee Payne,,,,"Pugliese, Pompei Pitture e Mosaici, Vol. 8, 528",Pugliese,,,4,Commercial,None,Garden to south (room 10).,None,4152,4152,,1598.gif,Covered well in northeast corner of garden extending below the peristyle of house (VIII.4.15). Puteal above enables the occupants of house (VIII.4.15) to access the well. The lip of the well shows considerable wearing. Filled with rubble.,,,Sera Baker,Sketch1598,367,1598,196,04/06/2007,George Reissig,27,93,1387,1387,Other,,Yes,,Yes,0,Yes,4,,06/02/2011,14,4102,Bakery,0,7/14/2006 12:50:37 PM,0,60713,60713,None,,374,BW0607/13;CS0607/13,Lee Payne,196,07/04/2006,Margaret Ramos,8,8,34,Dining Room,2006,4148,1598,Feature,1484,Bakery and House of Felix,,0603,12:01-12:34,,,,,,Margaret Ramos,2006
,,,,,,,"Jashemski, Vol. 2, 214",Jashemski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Mayeske, 1972, 124-125",Mayeske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Eschebach, 1993, 375",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Mary Meier,2006,Lee Payne,,,,"Pugliese, Pompei Pitture e Mosaici, Vol. 8, 528",Pugliese,,,4,Commercial,Mill-oven room to east (room 4).,Mill-oven room to east (room 4).,None,4152,4152,,1599.gif,Room contains one meta and one partial catillus. Passthrough to oven in room 4. Water spout in northwest corner which Eschebach says drained to a lead basin; no longer extant.,,,Mary Meier,"Sketch1594,99",373,"1594,99",211,04/06/2007,George Reissig,27,211,1388,1388,(none),,Yes,,Yes,0,Yes,4,,08/17/2012,14,4102,Bakery,0,7/14/2006 12:50:37 PM,0,60718,60718,None,,374,BW0607/18;CS0607/18,Lee Payne,211,07/04/2006,George Reissig,8,5,42,Preparation Room,2006,4148,1599,Space,1484,Bakery and House of Felix,,0603,10:01-10:43,,,,,,George Reissig,2006
,,,,,,,"Jashemski, Vol. 2, 214",Jashemski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Mayeske, 1972, 124-125",Mayeske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Eschebach, 1993, 375",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
